"type","hit_rate (%)","num_not_hit","num_hit","substructure","95% CI","new column"
,0,13,0,"[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1","0.18%-23.16%","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,1,0,"[#6]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1","1.26%-84.19%","[#6]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#7]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#7]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1"
,0,63,0,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1","0.04%-5.6%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#7]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#7]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1"
,0,355,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1","0.01%-1.03%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#7]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1","2.5%-97.5%","[#7]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#7]:1"
,0,0,0,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1"
,0,0,0,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1","2.5%-97.5%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1"
